512, 1629955, 1640237, 1610259, 4067231, 7662, 449300
3686, 2504184, 2512958, 2475906, 14648102, 72751, 32707731
6860, 3483419, 3435298, 3339473, 57866910, 132888, 122583349
10034, 3973801, 5619828, 6007689, 119974655, 177968, 271613693
13208, 5206848, 6286027, 5583174, 231494095, 233942, 470009791
16382, 6199274, 6136427, 5977909, 362095646, 287483, 713884213
