1000, 44308, 7006, 11998
50950, 4389397, 436834, 769749
100900, 9472539, 950155, 1592225
150850, 15787206, 1471393, 2448444
200800, 21383836, 2003016, 3418956
250750, 27660927, 2474270, 4200015
300700, 34215104, 2989775, 4969355
350650, 41140731, 3646003, 6442339
400600, 46394580, 4128607, 6960196
450550, 53592858, 4534546, 8465200
500500, 60038294, 5393955, 9474013
550450, 66886779, 5600438, 10098350
600400, 73834638, 6240216, 10947350
650350, 81552999, 6825426, 12290568
700300, 88429703, 7841135, 12032560
750250, 94166260, 7820777, 13162981
800200, 107166732, 8593169, 16075463
850150, 109740035, 10090436, 15847400
900100, 115788324, 10311288, 16600705
950050, 123330641, 10655355, 17245633
